"categories","name","address","city","tel","fax","link","lat","lng"
"31","Triskalia HENON","La Clôture","22150 HENON","Téléphone : 02.96.73.50.54","Fax : 02.96.73.44.97","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-henon/","48.387963","-2.67481"
"31","Triskalia HENANBIHEN","Les Bruyères","22550 HENANBIHEN","Téléphone : 02.96.31.52.56","Fax : 02.96.31.50.90","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-henanbihen/","48.298434","-1.72281"
"31","Triskalia GUINGAMP","18 route de Kerbost   ZI Grâces","22200 GUINGAMP","Téléphone : 02.96.43.97.28","Fax : 02.96.43.91.26","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-guingamp/","48.560363","-3.147737"
"31","Triskalia GUILLIERS","Le Bouix","56490 GUILLIERS","Téléphone : 02.97.74.40.74","Fax : 02.97.22.57.84","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-guilliers/","48.024811","-2.432681"
"31","Triskalia GUICHEN","6  rue Joliot Curie","35580 GUICHEN","Téléphone : 02.99.57.05.19","Fax : 02.99.05.91.15","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-guichen/","47.969026","-1.811305"
"31","Triskalia GUENIN","Z.I. de Kermartin","56150 GUENIN","Téléphone : 02.97.51.05.33","Fax : 02.97.39.06.81","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-guenin/","47.918519","-2.994719"
"31","Triskalia GRANDCHAMP","Z.I. de Kérovel - 23 RUE DU 8 Mai 1946","56390 GRANDCHAMP","Téléphone : 02.97.66.78.54","Fax : 02.97.63.06.19","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-grandchamp/","47.75879","-2.845577"
"31","Triskalia GOUDELIN","Rangare","22290 GOUDELIN","Téléphone : 02.96.70.02.37","Fax : 02.96.65.37.54","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-goudelin/","48.615416","-3.04189"
"31","Triskalia GLOMEL","Z.A. de Copéren","22110 GLOMEL","Téléphone : 02.96.29.31.89","Fax : 02.96.29.40.84","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-glomel/","48.255928","-3.386995"
"31","Triskalia DOLO","Les Vallées","22270 DOLO","Téléphone : 02.96.31.73.40","Fax : 02.96.31.66.25","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-dolo/","48.384117","-2.3287279999999555"
"31","Triskalia CROIX MENEZ BRIS","Croix Ménez Bris","29370 ELLIANT","Téléphone : 02.98.59.74.40","Fax : 02.98.59.18.49","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-croix-menez-bris/","48.04353099999999","-3.9137610000000222"
"31","Triskalia CLEDEN POHER","Pont Triffen (SPEZET)","29270 CLEDEN POHER","Téléphone : 02.98.93.82.08","Fax : 02.98.93.94.49","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-cleden-poher/","48.219487","-3.703065"
"31","Triskalia CHAPELLE NEUVE","8  Hent ar Illiz","22160 LA CHAPELLE NEUVE","Téléphone : 02.96.21.65.86","Fax : 02.96.15.39.36","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-chapelle-neuve/","48.461765","-3.42079"
"31","Triskalia CAST","Le Ménic","29150 CAST","Téléphone : 02.98.73.62.52","Fax : 02.98.73.62.73","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-cast/","48.151901","-4.133612"
"31","Triskalia CARNOET","4  Pont Lochrist","22160 CARNOET","Téléphone : 02.96.21.51.21","Fax : 02.96.21.58.19","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-carnoet/","48.342998","-3.491878"
"31","Triskalia CARENTOIR","Z.A. de l'Epine","56910 CARENTOIR","Téléphone : 02.90.99.58.30","Fax : 02.99.08.81.80","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-carentoir/","47.809608","-2.132604"
