"|","|__address","|__anim","|__category","|__desc","|__icon","|__infoopen","|__lat","|__linkd","|__lng","|__map_id","|__marker_id","|__other_data__-","|__pic","|__retina","|__title"
"20","RUE PASCALINE 62810 WARLUZEL","0","2","<div class=""gm-style-iw""><div><div><div><div><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 21 48 47 47<br /><u>Responsable de site :</u> FIRMIN CITERNE</div></div></div></div></div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.227931","","2.467312","1","20","0","","0","WARLUZEL"
"21","1 RUE PRE POTTIN 62810 LATTRE ST QUENTIN","0","2","<div><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 21 48 45 08<br /><u>Responsable de site :</u> AURELIEN GUIZY</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.2918474","","2.577264","1","21","","","0","LATTRE ST QUENTIN"
"22","15 RUE DE MONCHY 62111 BIENVILLERS AU BOIS","0","2","<p><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 21 07 63 42<br /><u>Responsable de site :</u> BENOIT FERTE</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.1745355","","2.6247124","1","22","","","0","BIENVILLERS AU BOIS"
"23","RUE DE FORCEVILLE 80560 HEDAUVILLE","0","2","<div class=""gm-style-iw""><div><div><div><div><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 22 76 54 06<br /><u>Responsable de site :</u> FIRMIN CITERNE</div></div></div></div></div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.04621","","2.566158","1","23","0","","0","HEDAUVILLE"
"24","VIGNACOURT","0","1","<div> <u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 47 13 52 26<br /><u>Responsable de site :</u> CORENTIN DEBROY</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.01231","","2.197293","1","24","0","","0","VIGNACOURT"
"25","ZI DU ROUVAL 80600 DOULLENS","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 21 48 45 08- 06 78 15 56 41<br /><u>Responsable de site :</u> FIRMIN CITERNE</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.159701","","2.330921","1","25","0","","0","DOULLENS"
"26","ROUTE D'AGNEZ LES DUISANS 62123 GOUVES","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 21 48 45 08<br /><u>Responsable de site :</u> AURELIEN GUIZY</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.2776702","","2.6676453","1","26","","","0","GOUVES"
"27","CHEMIN DE MONT ST ELOI RD 49 - 62580 NEUVILLE ST VAAST","0","2","<div><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 06 85 30 26 36<br /><u>Responsable de site :</u> FREDERIC ROPITAL</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.354124","","2.745878","1","27","0","","0","NEUVILLE ST VAAST"
"28","RUE ACHEVILLE 62580 VIMY","0","2","<p><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 21 16 11 12<br /><u>Responsable de site :</u> XAVIER DEBAILLEUL</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.377781","","2.851899","1","28","","","0","VIMY"
"29","RUE RENE DELZENNE 59310 NOMAIN","0","2","<p><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 20 71 83 55<br /><u>Responsable de site :</u> JEAN MICHEL LASNE</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.5038225","","3.2382726","1","29","","","0","NOMAIN"
"3","RUE DE PARIS 62170 CAMPIGNEULLES LES PETITES","0","2","<div> <b>CAMPIGNEULLES LES PETITES</b><br /><u>Type :</u> Appro / Collecte<br />CHEMIN DES GRANGES 62170 CAMPIGNEULLES LES PETITES<br /><u>Téléphone :</u> 03 21 06 02 38<br /><u>Responsable de site :</u> MAXIME WALLON</div><p> </p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.45134","","1.752301","1","3","0","","0","CAMPIGNEULLES LES PETITES"
